seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Delhi,India,delhi,2553,234,"Anand Vihar, Delhi, Delhi, India",28.6508,77.3152
Delhi,India,delhi,10117,-,"Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India",,
Delhi,India,delhi,10706,185,"Narela, Delhi, Delhi, India",,
Delhi,India,delhi,7024,-,"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",28.63576,77.22445
Delhi,India,delhi,8180,-,"IHBAS, Delhi, Delhi, India",28.68189167,77.30485833
Delhi,India,delhi,10127,-,"North Campus, Delhi, Delhi, India",28.687716,77.210232
Mumbai,India,mumbai,13708,137,"Mulund West, Mumbai, India",,
Mumbai,India,mumbai,13714,72,"Borivali East MPCB, Mumbai, India",,
Mumbai,India,mumbai,13803,54,"Malad West, Mumbai, India",,
Mumbai,India,mumbai,12454,74,"Kurla, Mumbai, India",19.0863,72.8888
Mumbai,India,mumbai,12456,103,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai, India",19.10078,72.87462
Mumbai,India,mumbai,13711,38,"Kandivali East, Mumbai, India",,
Mumbai,India,mumbai,12464,94,"Sion, Mumbai, India",19.047,72.8746
Mumbai,India,mumbai,13712,86,"Deonar, Mumbai, India",19.04946,72.923
Mumbai,India,mumbai,13710,84,"Khindipada-Bhandup West, Mumbai, India",,
Mumbai,India,mumbai,12462,-,"Khadakpada, Kalyan, India",,
Mumbai,India,mumbai,13709,64,"Mazgaon, Mumbai, India",,
Mumbai,India,mumbai,11898,135,"Nerul, Navi Mumbai, India",19.008751,73.01662
Mumbai,India,mumbai,12455,55,"Vile Parle West, Mumbai, India",19.10861,72.83622
Mumbai,India,mumbai,13713,98,"Chakala-Andheri East, Mumbai, India",19.11074,72.86084
Mumbai,India,mumbai,12460,101,"Borivali East, Mumbai, India",19.23241,72.86895
Mumbai,India,mumbai,11962,71,"Colaba, Mumbai, India",18.91,72.82
Mumbai,India,mumbai,13707,92,"Navy Nagar-Colaba, Mumbai, India",,
Mumbai,India,mumbai,11921,53,"Worli, Mumbai, India",18.9936162,72.8128113
Mumbai,India,mumbai,12459,103,"Powai, Mumbai, India",19.1375,72.915056
Mumbai,India,mumbai,12461,147,"Mahape, Navi Mumbai, India",19.1135051,73.008978
Mumbai,India,mumbai,13715,85,"Bandra Kurla Complex, Mumbai, India",19.053536,72.84643
Mumbai,India,mumbai,13706,99,"Siddharth Nagar-Worli, Mumbai, India",19.000083,72.813993
Mumbai,India,mumbai,7020,-,"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",19.072830200195,72.882606506348
Mumbai,India,mumbai,8678,-,"Bandra, Mumbai, India",19.0627,72.84614
Mumbai,India,mumbai,12453,-,"Vasai West, Mumbai, India",19.3832,72.8204
Mumbai,India,mumbai,8183,-,"NMMC Airoli, Mumbai, India",19.1494,72.9986
Mumbai,India,mumbai,13702,-,"Sector-19A Nerul, Navi Mumbai, India",19.044,73.0325
Dhaka,Bangladesh,dhaka,8781,-,"Dhaka US Consulate, Bangladesh",23.796373,90.424614
Dhaka,Bangladesh,dhaka,8294,58,"dzhakarta; Kemayoran, Indonesia",-6.155,106.846
Dhaka,Bangladesh,dhaka,8647,-,"dzhakarta; Jakarta Central (US Consulate), Indonesia",-6.155,106.846
Dhaka,Bangladesh,dhaka,8648,-,"dzhakarta; Jakarta South (US Consulate), Indonesia",-6.236704,106.79324
Beijing,China,beijing,13328,185,"大兴旧宫, Beijing",,
Beijing,China,beijing,446,187,"Dongcheng Dongsi, Beijing (东城东四)",39.929,116.417
Beijing,China,beijing,13338,195,"通州永顺, Beijing",,
Beijing,China,beijing,449,189,"Wanshou Temple, Beijing (西城万寿西宫)",39.878,116.352
Beijing,China,beijing,448,179,"West Park officials, Beijing (西城官园)",39.929,116.339
Beijing,China,beijing,457,165,"Shijingshan city, Beijing (石景山古城)",,
Beijing,China,beijing,447,185,"Temple of Heaven, Dongcheng, Beijing (东城天坛)",39.886,116.407
Beijing,China,beijing,460,194,"BDA, Beijing; BDA, Beijing (亦庄开发区)",39.795,116.506
Beijing,China,beijing,13335,165,"海淀四季青, Beijing",,
Beijing,China,beijing,462,168,"Shunyi New Town , Beijing; Shunyi New Town , Beijing (顺义新城)",40.127,116.655
Beijing,China,beijing,13337,195,"通州东关, Beijing",,
Beijing,China,beijing,452,174,"Haidian Wanliu, Beijing; Haidian Wanliu, Beijing (海淀万柳)",39.987,116.287
Beijing,China,beijing,459,188,"Huangcunzhen, Daxing, Beijing (大兴黄村镇)",,
Beijing,China,beijing,450,182,"Chaoyang Olympic Sports Center, Beijing (朝阳奥体中心)",39.982,116.397
Beijing,China,beijing,456,168,"Fengtai Yungang, Beijing; Fengtai Yungang, Beijing (丰台云岗)",39.824,116.146
Beijing,China,beijing,458,184,"Fangshan, Liangxiang, Beijing (房山良乡)",,
Beijing,China,beijing,13327,171,"丰台小屯, Beijing",,
Beijing,China,beijing,13336,169,"石景山老山, Beijing",,
Beijing,China,beijing,1451,189,Beijing (北京),39.954592,116.468117
Beijing,China,beijing,451,189,"Chaoyang Agricultural Exhibition Hall, Beijing (朝阳农展馆)",39.937,116.461
Beijing,China,beijing,3303,108,"Beijing US Embassy, Beijing (北京美国大使馆)",39.954592,116.468117
Beijing,China,beijing,9774,-,"Beijing Jiaotong University Seaside College, Cangzhou; Beijing Jiaotong University Seaside College, Cangzhou (沧州市北京交通大学海滨学院)",38.385,117.313
Beijing,China,beijing,9724,-,"Beijing Economic Management School Gu'an Campus, Langfang; Beijing Economic Management School Gu'an Campus, Langfang (廊坊市北京经管学校固安校区)",39.46,116.308
Beijing,China,beijing,9723,-,"Beijing Bazhong Gu'an Branch, Langfang; Beijing Bazhong Gu'an Branch, Langfang (廊坊市北京八中固安分校)",39.46,116.28
Beijing,China,beijing,885,157,"Beijing South , Huai'an; Beijing South , Huai'an (淮安北京南路)",33.578039,119.007906
Beijing,China,beijing,465,154,"Pinggu town, Beijing; Pinggu town, Beijing (平谷镇)",40.143,117.1
Beijing,China,beijing,466,159,"Huairou town, Beijing; Huairou town, Beijing (怀柔镇)",40.328,116.628
Beijing,China,beijing,468,154,"Yanqing town, Beijing; Yanqing town, Beijing (延庆镇)",40.453,115.972
Beijing,China,beijing,467,156,"The town of Miyun, Beijing; The town of Miyun, Beijing (密云镇)",40.37,116.832
Beijing,China,beijing,463,160,"Changping Town, Beijing; Changping Town, Beijing (昌平镇)",40.217,116.23
Seoul,South Korea,seoul,4541,99,"Gyenamgongwon, Gyeonggi, South Korea (송내대로(중동) 경기)",,
Seoul,South Korea,seoul,4501,95,"Baekhyeon-dong, Gyeonggi, South Korea (대왕판교로(백현동) 경기)",,
Seoul,South Korea,seoul,4498,95,"Gil-dong, Seoul, South Korea (천호대로 서울)",,
Seoul,South Korea,seoul,11364,76,"Byeolnae-dong, Gyeonggi, South Korea (별내동 경기)",,
Seoul,South Korea,seoul,1708,109,"Anyang, Anyang-si, Gyeonggi, South Korea (안양2동 경기)",,
Seoul,South Korea,seoul,4486,102,"Cheonggyecheon, Seoul, South Korea (청계천로 서울)",37.56865,126.998083
Seoul,South Korea,seoul,1691,87,"Jungnang-gu, Seoul, South Korea (중랑구 서울)",,
